"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.230119417E0,-1.239743042E1,-1.313426758E3,1.653140259E1,1.313589293E3
2.240081417E0,-1.237695312E1,-1.313430054E3,1.636877441E1,1.313590359E3
2.250043417E0,-1.242715454E1,-1.313473145E3,1.643061066E1,1.313634691E3
2.260005417E0,-1.238745117E1,-1.313537720E3,1.643930817E1,1.313698992E3
2.269967417E0,-1.246374512E1,-1.313263916E3,1.653033447E1,1.313427086E3
2.279930417E0,-1.253494263E1,-1.313171753E3,1.648228455E1,1.313335008E3
2.289892417E0,-1.241586304E1,-1.313245361E3,1.630640411E1,1.313405281E3
2.299854417E0,-1.239672852E1,-1.313341797E3,1.623937225E1,1.313500693E3
2.309816417E0,-1.232580566E1,-1.313432373E3,1.635893250E1,1.313592075E3
2.319778417E0,-1.230618286E1,-1.313405273E3,1.626900482E1,1.313563678E3
2.329738958E0,-1.241735840E1,-1.313423218E3,1.628307343E1,1.313582840E3
2.339700958E0,-1.224334717E1,-1.313432861E3,1.641284943E1,1.313592464E3
2.349662958E0,-1.223703003E1,-1.313350098E3,1.620535278E1,1.313507075E3
2.359624958E0,-1.224963379E1,-1.313259277E3,1.618310547E1,1.313416109E3
2.369586958E0,-1.223886108E1,-1.313388794E3,1.637687683E1,1.313547912E3
2.379548958E0,-1.236712646E1,-1.313243774E3,1.618766022E1,1.313401765E3
2.389510958E0,-1.234759521E1,-1.313143677E3,1.626088715E1,1.313302401E3
2.399472958E0,-1.217404175E1,-1.313220581E3,1.624064636E1,1.313377425E3
2.409434958E0,-1.217886353E1,-1.313290161E3,1.628117371E1,1.313447543E3
2.419396958E0,-1.224664307E1,-1.313378662E3,1.621739197E1,1.313535875E3
2.429358958E0,-1.223535156E1,-1.313335938E3,1.622493744E1,1.313493143E3
2.439320958E0,-1.219598389E1,-1.313322632E3,1.620929718E1,1.313479280E3
2.449282958E0,-1.229000854E1,-1.313204224E3,1.615193176E1,1.313361056E3
2.459244958E0,-1.219821167E1,-1.313116455E3,1.604743195E1,1.313271161E3
2.469206958E0,-1.224420166E1,-1.313046753E3,1.614882660E1,1.313203138E3
2.479168958E0,-1.224627686E1,-1.313010742E3,1.621666718E1,1.313167986E3
2.489130958E0,-1.223507690E1,-1.313098999E3,1.637772369E1,1.313258127E3
2.499092958E0,-1.225268555E1,-1.313206787E3,1.659587097E1,1.313368805E3
2.509055958E0,-1.241442871E1,-1.313114136E3,1.641020203E1,1.313275351E3
2.519017958E0,-1.243264771E1,-1.312972900E3,1.649612427E1,1.313135381E3
2.528979958E0,-1.233413696E1,-1.313018433E3,1.635944366E1,1.313178269E3
2.538941958E0,-1.232406616E1,-1.313065308E3,1.628216553E1,1.313224084E3
2.548903958E0,-1.240258789E1,-1.313083252E3,1.638256836E1,1.313244014E3
2.558865958E0,-1.241271973E1,-1.313155762E3,1.622392273E1,1.313314641E3
2.568827958E0,-1.230685425E1,-1.313163452E3,1.645526886E1,1.313324212E3
2.578789958E0,-1.234222412E1,-1.313245361E3,1.629863739E1,1.313404490E3
2.588751958E0,-1.227832031E1,-1.313141235E3,1.644491577E1,1.313301601E3
2.598713958E0,-1.232775879E1,-1.313225098E3,1.649010468E1,1.313386483E3
2.608675958E0,-1.241427612E1,-1.313254395E3,1.646672821E1,1.313416298E3
2.618637958E0,-1.241983032E1,-1.313072876E3,1.640503693E1,1.313234082E3
2.628599958E0,-1.232409668E1,-1.313266357E3,1.624447632E1,1.313424643E3
2.638561958E0,-1.236267090E1,-1.313191650E3,1.640308380E1,1.313352279E3
2.648523958E0,-1.233718872E1,-1.313112183E3,1.625882721E1,1.313270787E3
2.658485958E0,-1.221514893E1,-1.313249146E3,1.623403931E1,1.313406286E3
2.668447958E0,-1.221832275E1,-1.313160034E3,1.649305725E1,1.313320442E3
2.678409958E0,-1.219219971E1,-1.313268066E3,1.637601471E1,1.313426754E3
2.688371958E0,-1.218856812E1,-1.313369141E3,1.617199707E1,1.313525255E3
2.698333958E0,-1.204107666E1,-1.313336060E3,1.610942841E1,1.313490048E3
2.708295958E0,-1.218258667E1,-1.313350342E3,1.612200928E1,1.313505788E3
2.718258958E0,-1.218875122E1,-1.313243896E3,1.605759430E1,1.313398623E3
2.728220958E0,-1.218182373E1,-1.313122681E3,1.628315735E1,1.313280135E3
2.738182958E0,-1.202984619E1,-1.313252197E3,1.646623230E1,1.313410518E3
2.748144958E0,-1.219442749E1,-1.313222656E3,1.625216675E1,1.313379832E3
2.758106958E0,-1.217779541E1,-1.313259033E3,1.650015259E1,1.313419142E3
2.768068958E0,-1.212191772E1,-1.313247559E3,1.632503510E1,1.313404963E3
2.778030958E0,-1.205395508E1,-1.313368286E3,1.640175629E1,1.313526007E3
2.787992958E0,-1.213836670E1,-1.313293091E3,1.642019653E1,1.313451828E3
2.797954958E0,-1.211389160E1,-1.313354614E3,1.646388245E1,1.313513665E3
2.807916958E0,-1.221038818E1,-1.313257324E3,1.666384125E1,1.313419802E3
2.817878958E0,-1.214700317E1,-1.313265991E3,1.630820465E1,1.313423416E3
2.827840958E0,-1.218978882E1,-1.313245361E3,1.626554108E1,1.313402656E3
2.837802958E0,-1.209909058E1,-1.313257446E3,1.636592865E1,1.313415148E3
2.847764958E0,-1.219049072E1,-1.313328369E3,1.643079376E1,1.313487718E3
2.857726958E0,-1.213659668E1,-1.313276733E3,1.630375671E1,1.313434006E3
2.867688958E0,-1.216531372E1,-1.313286743E3,1.646071625E1,1.313446238E3
2.877650958E0,-1.211065674E1,-1.313234131E3,1.663704681E1,1.313395349E3
2.887612958E0,-1.204141235E1,-1.313083984E3,1.653440094E1,1.313243287E3
2.897574958E0,-1.226449585E1,-1.313265137E3,1.640769196E1,1.313424893E3
2.907536958E0,-1.229171753E1,-1.313208130E3,1.640027618E1,1.313368055E3
2.917498958E0,-1.225299072E1,-1.313278320E3,1.655600739E1,1.313439829E3
2.927461958E0,-1.223306274E1,-1.313220215E3,1.625466919E1,1.313377781E3
2.937423958E0,-1.230950928E1,-1.313133179E3,1.652509308E1,1.313294844E3
2.947385958E0,-1.218106079E1,-1.313140869E3,1.645156097E1,1.313300413E3
2.957347958E0,-1.236657715E1,-1.313132446E3,1.660957336E1,1.313295714E3
2.967309958E0,-1.239099121E1,-1.313277100E3,1.638422394E1,1.313437749E3
2.977271958E0,-1.237542725E1,-1.313328247E3,1.638183594E1,1.313488713E3
2.987233958E0,-1.225952148E1,-1.313168213E3,1.640808868E1,1.313327939E3
2.997195958E0,-1.227282715E1,-1.313224243E3,1.625436401E1,1.313382176E3
3.007157958E0,-1.237155151E1,-1.313159668E3,1.648749542E1,1.313321441E3
3.017119958E0,-1.219860840E1,-1.313218384E3,1.645639038E1,1.313378141E3
3.027081958E0,-1.217269897E1,-1.313169189E3,1.654322815E1,1.313329804E3
3.037043958E0,-1.217022705E1,-1.313169067E3,1.640489197E1,1.313327923E3
3.047005958E0,-1.219088745E1,-1.313141235E3,1.648892212E1,1.313301339E3
3.056967958E0,-1.214773560E1,-1.313078491E3,1.655673218E1,1.313239056E3
3.066929958E0,-1.220312500E1,-1.313115723E3,1.652713776E1,1.313276423E3
