"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.968323333E-1,1.021483459E2,-1.801558685E1,-1.376639252E2,1.723664766E2
1.006795333E0,1.019290466E2,-1.783725739E1,-1.375446014E2,1.721226763E2
1.016758333E0,1.020893860E2,-1.787008667E1,-1.377032318E2,1.723477960E2
1.026721333E0,1.021078186E2,-1.795610809E1,-1.377849121E2,1.724329158E2
1.036684333E0,1.021514587E2,-1.785620117E1,-1.377227173E2,1.723986987E2
1.046646333E0,1.020566101E2,-1.794845581E1,-1.375960846E2,1.722509252E2
1.056609333E0,-9.440652466E1,3.503364868E2,-1.377355804E2,3.880970703E2
1.066572333E0,-1.504359131E2,4.552368774E2,-1.378821716E2,4.988818215E2
1.076535333E0,-1.660932922E2,4.847546387E2,-1.377335815E2,5.306077468E2
1.086498333E0,-1.705447388E2,4.931115112E2,-1.378256836E2,5.396669246E2
1.096461333E0,-1.718249512E2,4.955426636E2,-1.379109039E2,5.423151876E2
1.106424333E0,-1.722101440E2,4.961459351E2,-1.378245850E2,5.429666093E2
1.116387333E0,-1.723549194E2,4.963487549E2,-1.378988190E2,5.432167054E2
1.126350333E0,-1.723659363E2,4.963239746E2,-1.376368713E2,5.431311187E2
1.136312333E0,-1.723668823E2,4.962288208E2,-1.378116913E2,5.430888021E2
1.146275333E0,-1.723674927E2,4.963215942E2,-1.375610046E2,5.431102167E2
1.156238333E0,-1.722965698E2,4.961484375E2,-1.375814362E2,5.429346476E2
1.166201333E0,-1.722629395E2,4.960799561E2,-1.374294434E2,5.428228947E2
1.176164333E0,-1.723870544E2,4.960410156E2,-1.374322052E2,5.428274097E2
1.186127333E0,-1.723902893E2,4.961096191E2,-1.375391235E2,5.429182043E2
1.196090333E0,-1.723520203E2,4.959577637E2,-1.373562012E2,5.427209672E2
1.206053333E0,-1.722495728E2,4.960632935E2,-1.374595947E2,5.428110598E2
1.216016333E0,-1.722229919E2,4.960671387E2,-1.374938202E2,5.428148078E2
1.225978333E0,-1.722987366E2,4.960976562E2,-1.375921631E2,5.428916490E2
1.235941333E0,-1.723065796E2,4.960781860E2,-1.375840759E2,5.428742967E2
1.245904333E0,-1.722900391E2,4.959237061E2,-1.375089722E2,5.427088512E2
1.255867333E0,-1.721774292E2,4.958604126E2,-1.375193481E2,5.426179015E2
1.265830333E0,-1.721390991E2,4.958863525E2,-1.377239380E2,5.426813311E2
1.275793333E0,-1.721758728E2,4.958830566E2,-1.375870667E2,5.426552662E2
1.285756333E0,-1.722339172E2,4.958970337E2,-1.376876221E2,5.427119600E2
1.295719333E0,-1.721084595E2,4.958565674E2,-1.374755402E2,5.425814053E2
1.305682333E0,-1.721256104E2,4.957741089E2,-1.375343170E2,5.425263875E2
1.315644333E0,-1.721921997E2,4.960140991E2,-1.374176636E2,5.427372794E2
1.325607333E0,-1.721825867E2,4.960720825E2,-1.375025024E2,5.428087070E2
1.335570333E0,-1.721934509E2,4.959576416E2,-1.375560608E2,5.427211408E2
1.345533333E0,-1.722754211E2,4.959439087E2,-1.376825714E2,5.427666826E2
1.355496333E0,-1.721720581E2,4.959738159E2,-1.376416321E2,5.427508292E2
1.365459333E0,-1.722717285E2,4.959812012E2,-1.378615265E2,5.428450063E2
1.375422333E0,-1.721465149E2,4.959857178E2,-1.377301025E2,5.427760459E2
1.385385333E0,-1.721808472E2,4.960004272E2,-1.375672913E2,5.427590880E2
1.395348333E0,-1.722467651E2,4.961088867E2,-1.374990082E2,5.428618174E2
1.405310333E0,-1.722681274E2,4.958668213E2,-1.375139618E2,5.426511788E2
1.415273333E0,-1.723257446E2,4.959903564E2,-1.374158325E2,5.427575029E2
1.425236333E0,-1.721965332E2,4.959221802E2,-1.375255737E2,5.426819863E2
1.435199333E0,-1.722404175E2,4.958308105E2,-1.376682281E2,5.426485927E2
1.445162333E0,-1.721134338E2,4.959600830E2,-1.377317810E2,5.427425555E2
1.455125333E0,-1.720819397E2,4.958244629E2,-1.377954407E2,5.426248017E2
1.465088333E0,-1.721914062E2,4.958631592E2,-1.378648376E2,5.427125081E2
1.475051333E0,-1.722039490E2,4.958267822E2,-1.377945404E2,5.426653973E2
1.485014333E0,-1.721897278E2,4.957686157E2,-1.378296814E2,5.426166637E2
1.494976333E0,-1.721476746E2,4.957596436E2,-1.375994415E2,5.425366829E2
1.504939333E0,-1.722372742E2,4.959294434E2,-1.375858307E2,5.427168251E2
1.514902333E0,-1.722767334E2,4.957998047E2,-1.374760742E2,5.425830721E2
1.524865333E0,-1.723092346E2,4.960902710E2,-1.376201172E2,5.428953177E2
1.534828333E0,-1.724656677E2,4.961124268E2,-1.378306274E2,5.430186262E2
1.544791333E0,-1.723306885E2,4.959344482E2,-1.379094391E2,5.428331756E2
1.554754333E0,-1.723056335E2,4.960322266E2,-1.376616364E2,5.428516623E2
1.564717333E0,-1.723514099E2,4.960950317E2,-1.377284241E2,5.429405196E2
1.574680333E0,2.865805054E1,7.054460144E1,-1.393070831E2,1.587585842E2
1.584642333E0,8.606692505E1,-5.067994690E1,-1.392360382E2,1.713553236E2
1.594605333E0,1.024148865E2,-8.527619934E1,-1.392515564E2,1.927481131E2
1.604568333E0,1.070929871E2,-9.521675110E1,-1.392704010E2,1.998283818E2
1.614531333E0,1.083942566E2,-9.794401550E1,-1.393422699E2,2.018876252E2
1.624494333E0,1.089664001E2,-9.882441711E1,-1.392554932E2,2.025636546E2
1.634457333E0,1.090204773E2,-9.900857544E1,-1.393632660E2,2.027567074E2
1.644420333E0,1.088930969E2,-9.916571045E1,-1.392852631E2,2.027114432E2
1.654383333E0,1.089812927E2,-9.924348450E1,-1.392387695E2,2.027649534E2
1.664346333E0,1.089955139E2,-9.926501465E1,-1.393348846E2,2.028491441E2
1.674308333E0,1.090630188E2,-9.918626404E1,-1.392990875E2,2.028223184E2
1.684271333E0,1.089231873E2,-9.914352417E1,-1.394209595E2,2.028100171E2
1.694234333E0,1.090838318E2,-9.924964905E1,-1.393828125E2,2.029220136E2
1.704197333E0,1.090617981E2,-9.915568542E1,-1.390224152E2,2.026167754E2
1.714160333E0,1.090346985E2,-9.918090820E1,-1.391135712E2,2.026770922E2
1.724123333E0,1.090045471E2,-9.917620850E1,-1.392164764E2,2.027292257E2
1.734086333E0,1.090868835E2,-9.912319946E1,-1.391894073E2,2.027290013E2
1.744049958E0,1.090249939E2,-9.900186157E1,-1.391617584E2,2.026174052E2
1.754012958E0,1.090611877E2,-9.904914856E1,-1.390750427E2,2.026004541E2
1.763974958E0,1.090537415E2,-9.910498047E1,-1.392259064E2,2.027273259E2
1.773937958E0,1.090874939E2,-9.918287659E1,-1.393273926E2,2.028532639E2
1.783900958E0,1.091664124E2,-9.915342712E1,-1.391718140E2,2.027745090E2
1.793863958E0,1.092157288E2,-9.915991211E1,-1.393701172E2,2.029403684E2
1.803826958E0,1.091428528E2,-9.919203186E1,-1.393504028E2,2.029033175E2
1.813789958E0,1.089664001E2,-9.919400024E1,-1.391437378E2,2.026674760E2
