"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.768144333E0,9.045013428E0,-6.730804443E0,-5.363092041E1,5.480320812E1
1.778107333E0,9.097198486E0,-6.754707336E0,-5.389195251E1,5.507020644E1
1.788069333E0,9.033782959E0,-6.686218262E0,-5.381373596E1,5.497483904E1
1.798032333E0,9.250335693E0,-6.754302979E0,-5.388070679E1,5.508466105E1
1.807994333E0,9.176666260E0,-6.629928589E0,-5.388082886E1,5.505734170E1
1.817956333E0,9.074493408E0,-6.863784790E0,-5.383424377E1,5.502348385E1
1.827919333E0,9.050323486E0,-6.756538391E0,-5.406819153E1,5.523521070E1
1.837881333E0,8.952178955E0,-6.528068542E0,-5.402517700E1,5.514958692E1
1.847843333E0,8.956512451E0,-6.520896912E0,-5.387115479E1,5.499856843E1
1.857806708E0,8.940460205E0,-6.561408997E0,-5.379573059E1,5.492690185E1
1.867768708E0,9.019683838E0,-6.487838745E0,-5.382879639E1,5.496349760E1
1.877730708E0,9.086395264E0,-6.527885437E0,-5.399484253E1,5.514180707E1
1.887693708E0,9.093841553E0,-6.562477112E0,-5.372673035E1,5.488465736E1
1.897655708E0,9.240509033E0,-6.730155945E0,-5.385018921E1,5.505020331E1
1.907617708E0,9.099151611E0,-6.654441833E0,-5.369552612E1,5.486607041E1
1.917580708E0,9.107208252E0,-6.583557129E0,-5.385411072E1,5.501408645E1
1.927542708E0,9.150421143E0,-6.540473938E0,-5.400463867E1,5.516347528E1
1.937505708E0,9.303924561E0,-6.718406677E0,-5.395167542E1,5.515870993E1
1.947467708E0,9.329193115E0,-6.712097168E0,-5.381800842E1,5.503148302E1
1.957429708E0,9.284454346E0,-6.871276855E0,-5.389025879E1,5.511420443E1
1.967392708E0,9.287994385E0,-6.759963989E0,-5.379603577E1,5.500888489E1
1.977354708E0,9.302520752E0,-6.864700317E0,-5.387185669E1,5.509843869E1
1.987316708E0,9.420562744E0,-6.751739502E0,-5.383970642E1,5.507310574E1
1.997279708E0,9.347686768E0,-6.751289368E0,-5.388613892E1,5.510603527E1
2.007241708E0,9.329193115E0,-6.787620544E0,-5.383363342E1,5.505602351E1
2.017203708E0,9.282501221E0,-6.859390259E0,-5.390843201E1,5.513016511E1
2.027166708E0,9.307098389E0,-6.727989197E0,-5.382022095E1,5.503184625E1
2.037128708E0,9.148834229E0,-6.672752380E0,-5.368786621E1,5.486906023E1
2.047091708E0,9.120452881E0,-6.580001831E0,-5.386651611E1,5.502799872E1
2.057053708E0,9.139007568E0,-6.760528564E0,-5.374771118E1,5.493671507E1
2.067015708E0,9.214263916E0,-6.741859436E0,-5.371800232E1,5.491793060E1
2.076978708E0,9.166900635E0,-6.681999207E0,-5.378775024E1,5.497093102E1
2.086940708E0,9.287567139E0,-6.705635071E0,-5.376119995E1,5.496809134E1
2.096902708E0,9.224639893E0,-6.584709167E0,-5.377325439E1,5.495466554E1
2.106865708E0,9.125152588E0,-6.564636230E0,-5.381188965E1,5.497346929E1
2.116827708E0,9.176239014E0,-6.667175293E0,-5.378927612E1,5.497218219E1
2.126789708E0,9.168060303E0,-6.837593079E0,-5.387348938E1,5.507412157E1
2.136752708E0,9.158355713E0,-6.731063843E0,-5.371084595E1,5.490025202E1
2.146714708E0,9.219146729E0,-6.766044617E0,-5.377717590E1,5.497960235E1
2.156676708E0,9.340423584E0,-6.826126099E0,-5.370431519E1,5.493626289E1
2.166639708E0,9.369171143E0,-6.913002014E0,-5.381271362E1,5.505796139E1
2.176601708E0,9.336151123E0,-7.034782410E0,-5.398271179E1,5.523391217E1
2.186564708E0,9.177459717E0,-6.451629639E0,-5.375932312E1,5.491733892E1
2.196526708E0,1.221627808E1,3.265047302E2,-6.980464172E1,3.341066661E2
2.206488708E0,1.545925903E1,7.606958618E2,-9.063241577E1,7.662319607E2
2.216451708E0,1.728329468E1,1.047014771E3,-1.044248657E2,1.052351270E3
2.226413708E0,1.815652466E1,1.191893311E3,-1.112992096E2,1.197216287E3
2.236375708E0,1.860574341E1,1.255833374E3,-1.145697327E2,1.261185895E3
2.246338708E0,1.866476440E1,1.281693237E3,-1.158882446E2,1.287057113E3
2.256300708E0,1.877883911E1,1.291752197E3,-1.163903809E2,1.297121083E3
2.266262708E0,1.879629517E1,1.296794678E3,-1.166642151E2,1.302167530E3
2.276225708E0,1.889089966E1,1.297213989E3,-1.166710815E2,1.302587095E3
2.286187708E0,1.889089966E1,1.297213989E3,-1.166710815E2,1.302587095E3
2.296149708E0,1.879208374E1,1.297538086E3,-1.167189026E2,1.302912710E3
2.306112708E0,1.886843872E1,1.297531738E3,-1.166335754E2,1.302899851E3
2.316074708E0,1.873171997E1,1.297661255E3,-1.166050110E2,1.303024305E3
2.326037708E0,1.885537720E1,1.297616455E3,-1.166669006E2,1.302987013E3
2.335999708E0,1.870968628E1,1.297571167E3,-1.165576172E2,1.302930030E3
2.345961708E0,1.895175171E1,1.297442749E3,-1.165563354E2,1.302805525E3
2.355924708E0,1.883554077E1,1.297462280E3,-1.166340942E2,1.302830249E3
2.365886708E0,1.880062866E1,1.297422241E3,-1.166462097E2,1.302790956E3
2.375848708E0,1.881405640E1,1.297610718E3,-1.164002686E2,1.302956855E3
2.385811708E0,1.875161743E1,1.297518799E3,-1.161465149E2,1.302841767E3
2.395773708E0,1.880447388E1,1.297708618E3,-1.164534607E2,1.303058968E3
2.405735708E0,1.887124634E1,1.297598633E3,-1.164223633E2,1.302947621E3
2.415698708E0,1.886111450E1,1.297598389E3,-1.164452209E2,1.302949274E3
2.425660708E0,1.894467163E1,1.297678101E3,-1.166381836E2,1.303047129E3
2.435622708E0,1.892977905E1,1.297675049E3,-1.163831787E2,1.303021072E3
2.445585708E0,1.890548706E1,1.297636597E3,-1.163081970E2,1.302975729E3
2.455547708E0,1.893502808E1,1.297658813E3,-1.163384705E2,1.303000987E3
2.465510708E0,1.900320435E1,1.297579956E3,-1.165233154E2,1.302939963E3
2.475472708E0,1.885250854E1,1.297770142E3,-1.163403015E2,1.303110825E3
2.485434708E0,1.882009888E1,1.297704102E3,-1.163307495E2,1.303043735E3
2.495397708E0,1.870352173E1,1.297888184E3,-1.164406738E2,1.303235201E3
2.505359708E0,1.886367798E1,1.297839233E3,-1.164855347E2,1.303192769E3
2.515321708E0,1.875131226E1,1.297790161E3,-1.163671265E2,1.303131698E3
2.525284708E0,1.871005249E1,1.297757935E3,-1.166767578E2,1.303126697E3
2.535246708E0,1.879647827E1,1.297871460E3,-1.166664429E2,1.303240075E3
2.545208708E0,1.881771851E1,1.297894287E3,-1.166465149E2,1.303261331E3
2.555171708E0,1.893814087E1,1.297740723E3,-1.164896851E2,1.303096114E3
2.565133708E0,1.898941040E1,1.297741089E3,-1.164632568E2,1.303094863E3
2.575095708E0,1.896878052E1,1.297709106E3,-1.164078979E2,1.303057765E3
2.585058708E0,1.882553101E1,1.297789551E3,-1.164860229E2,1.303142783E3
2.595020708E0,1.880062866E1,1.297700806E3,-1.165789490E2,1.303062353E3
2.604983708E0,1.891067505E1,1.297649658E3,-1.164670715E2,1.303003004E3
2.614945708E0,1.878646851E1,1.297776245E3,-1.167008362E2,1.303148188E3
2.624907708E0,1.890792847E1,1.297640503E3,-1.166194763E2,1.303007478E3
2.634870708E0,1.873654175E1,1.297814087E3,-1.166669006E2,1.303182116E3
2.644832708E0,1.889187622E1,1.297658325E3,-1.166983337E2,1.303032054E3
2.654794708E0,1.891781616E1,1.297661621E3,-1.165069885E2,1.303018590E3
2.664757708E0,1.896731567E1,1.297685425E3,-1.166115723E2,1.303052370E3
2.674719708E0,1.905276489E1,1.297545044E3,-1.165902100E2,1.302911903E3
2.684681708E0,1.892465210E1,1.297578125E3,-1.164505920E2,1.302930494E3
2.694644708E0,1.887918091E1,1.297487793E3,-1.165441589E2,1.302848240E3
2.704606708E0,1.884414673E1,1.297517700E3,-1.166896973E2,1.302890544E3
2.714569708E0,1.888272095E1,1.297595215E3,-1.166207275E2,1.302962123E3
2.724531708E0,1.878030396E1,1.297620117E3,-1.165422974E2,1.302978425E3
2.734493708E0,1.896011353E1,1.297475708E3,-1.164835815E2,1.302831963E3
2.744456708E0,1.897781372E1,1.297605713E3,-1.162843018E2,1.302943891E3
2.754418708E0,1.890762329E1,1.297621826E3,-1.163406982E2,1.302963952E3
2.764380708E0,1.890786743E1,1.297712646E3,-1.163298035E2,1.303053431E3
2.774343708E0,1.883303833E1,1.297498169E3,-1.164588318E2,1.302850276E3
2.784305708E0,1.889920044E1,1.297553711E3,-1.165438232E2,1.302914147E3
2.794267708E0,1.886154175E1,1.297655518E3,-1.164281006E2,1.303004644E3
2.804230708E0,1.878475952E1,1.297594360E3,-1.166532288E2,1.302962765E3
2.814192708E0,1.877072144E1,1.297655396E3,-1.166935730E2,1.303026959E3
2.824154708E0,1.886080933E1,1.297636108E3,-1.165158997E2,1.302993152E3
2.834117708E0,1.883096313E1,1.297625488E3,-1.165336609E2,1.302983732E3
2.844079708E0,1.883657837E1,1.297549194E3,-1.166943054E2,1.302922212E3
2.854042333E0,1.879965210E1,1.297722656E3,-1.167016296E2,1.303095081E3
2.864004333E0,1.893057251E1,1.297662598E3,-1.167136536E2,1.303038242E3
2.873966333E0,1.882168579E1,1.297539917E3,-1.167554321E2,1.302918233E3
2.883929333E0,1.879904175E1,1.297650513E3,-1.168060913E2,1.303032586E3
2.893891333E0,1.878958130E1,1.297498657E3,-1.169118652E2,1.302890708E3
2.903853333E0,1.870510864E1,1.297641846E3,-1.169995117E2,1.303039956E3
2.913816333E0,1.874386597E1,1.297708618E3,-1.167327881E2,1.303083088E3
2.923778333E0,1.879605103E1,1.297549561E3,-1.167427979E2,1.302926335E3
2.933740333E0,1.887588501E1,1.297593750E3,-1.168368225E2,1.302979924E3
2.943703333E0,1.870657349E1,1.297727051E3,-1.167404785E2,1.303101598E3
2.953665333E0,1.867495728E1,1.297814819E3,-1.167087708E2,1.303185711E3
2.963627333E0,1.873562622E1,1.297667480E3,-1.168364258E2,1.303051290E3
2.973590333E0,1.881362915E1,1.297540039E3,-1.168342896E2,1.302925307E3
2.983552333E0,1.887881470E1,1.297600586E3,-1.167493591E2,1.302978934E3
2.993515333E0,1.897897339E1,1.297564209E3,-1.167455139E2,1.302943818E3
3.003477333E0,1.895712280E1,1.297648071E3,-1.166187439E2,1.303015664E3
3.013439333E0,1.887893677E1,1.297724487E3,-1.167416077E2,1.303101632E3
3.023402333E0,1.889193726E1,1.297649170E3,-1.165186462E2,1.303006857E3
3.033364333E0,1.886294556E1,1.297552612E3,-1.165249939E2,1.302910844E3
3.043326333E0,1.882254028E1,1.297629883E3,-1.165716858E2,1.302991389E3
3.053289333E0,1.891079712E1,1.297593506E3,-1.164903870E2,1.302949168E3
3.063251333E0,1.894735718E1,1.297544556E3,-1.166755371E2,1.302917517E3
3.073213333E0,1.888302612E1,1.297556641E3,-1.167695312E2,1.302937039E3
3.083176333E0,1.899813843E1,1.297420166E3,-1.166037292E2,1.302787951E3
3.093138333E0,1.891751099E1,1.297562134E3,-1.167077026E2,1.302937470E3
3.103100333E0,1.882211304E1,1.297532349E3,-1.167514343E2,1.302910344E3
3.113063333E0,1.888034058E1,1.297695679E3,-1.166407166E2,1.303063927E3
3.123025333E0,1.899752808E1,1.297589355E3,-1.166051636E2,1.302956563E3
3.132988333E0,1.898348999E1,1.297438721E3,-1.166143799E2,1.302807169E3
3.142950333E0,1.884530640E1,1.297486938E3,-1.167276001E2,1.302863321E3
3.152912333E0,1.888919067E1,1.297582642E3,-1.166024780E2,1.302948062E3
3.162875333E0,1.887948608E1,1.297635620E3,-1.165271912E2,1.302993946E3
3.172837333E0,1.893869019E1,1.297618652E3,-1.165492554E2,1.302979881E3
3.182799333E0,1.880203247E1,1.297662109E3,-1.165294189E2,1.303019406E3
3.192762333E0,1.881790161E1,1.297520142E3,-1.166055298E2,1.302885060E3
3.202724333E0,1.880447388E1,1.297682251E3,-1.166582031E2,1.303051023E3
3.212686333E0,1.879098511E1,1.297647827E3,-1.165108032E2,1.303003358E3
3.222649333E0,1.901565552E1,1.297583984E3,-1.166084290E2,1.302951771E3
3.232611333E0,1.899563599E1,1.297616333E3,-1.164873352E2,1.302972863E3
3.242573333E0,1.888693237E1,1.297562622E3,-1.167138062E2,1.302938060E3
3.252536333E0,1.887210083E1,1.297593018E3,-1.167450867E2,1.302970917E3
3.262498333E0,1.880142212E1,1.297757080E3,-1.165150146E2,1.303112689E3
3.272461333E0,1.891842651E1,1.297625732E3,-1.165545959E2,1.302987115E3
3.282423333E0,1.884445190E1,1.297651367E3,-1.166501770E2,1.303020126E3
