"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.222478083E0,1.296514893E1,-3.630251312E1,-8.612887573E1,9.436180785E1
1.232507083E0,1.298535156E1,-3.627897644E1,-8.606359863E1,9.429595164E1
1.242536083E0,1.296203613E1,-3.633789062E1,-8.605160522E1,9.430448260E1
1.252565083E0,1.291961670E1,-3.632811737E1,-8.600012207E1,9.424791565E1
1.262594083E0,1.297692871E1,-3.625527191E1,-8.593933105E1,9.417225729E1
1.272623083E0,1.305023193E1,-3.637151337E1,-8.572052002E1,9.402767194E1
1.282653083E0,1.296166992E1,-3.646421814E1,-8.593319702E1,9.424520381E1
1.292682083E0,1.308227539E1,-3.635252380E1,-8.612347412E1,9.439229159E1
1.302711083E0,1.302807617E1,-3.634722900E1,-8.623828125E1,9.448752816E1
1.312740083E0,1.297766113E1,-3.626884460E1,-8.609625244E1,9.432080079E1
1.322769083E0,1.312377930E1,-3.628153229E1,-8.600927734E1,9.426653148E1
1.332798083E0,1.289782715E1,-3.627277374E1,-8.614730835E1,9.435797156E1
1.342827083E0,1.299755859E1,-3.635536194E1,-8.617782593E1,9.443127952E1
1.352856083E0,1.302508545E1,-3.631764984E1,-8.614169312E1,9.438758305E1
1.362885208E0,1.280639648E1,-3.619600677E1,-8.628652954E1,9.444320980E1
1.372915208E0,1.278790283E1,-3.623529816E1,-8.612716675E1,9.431021230E1
1.382944208E0,1.297686768E1,-3.636725616E1,-8.630816650E1,9.455197524E1
1.392973208E0,1.299395752E1,-3.639048004E1,-8.611190796E1,9.438416531E1
1.403002208E0,1.287957764E1,-3.623756409E1,-8.617092896E1,9.436351821E1
1.413031208E0,1.297760010E1,-3.626735687E1,-8.611950684E1,9.434144761E1
1.423060208E0,1.294500732E1,-3.624063873E1,-8.619335938E1,9.439413282E1
1.433089208E0,1.299420166E1,-3.633912659E1,-8.620748901E1,9.445164138E1
1.443118208E0,1.306835938E1,-3.632440948E1,-8.640963745E1,9.464074274E1
1.453147208E0,1.300036621E1,-3.632189178E1,-8.632919312E1,9.455696129E1
1.463177208E0,1.297589111E1,-3.624248505E1,-8.635278320E1,9.454467007E1
1.473206208E0,1.288867188E1,-3.629122162E1,-8.628027344E1,9.448521691E1
1.483235208E0,1.304370117E1,-3.631301880E1,-8.612200928E1,9.437040827E1
1.493264208E0,1.303027344E1,-3.635013580E1,-8.619570923E1,9.445009628E1
1.503293208E0,1.303027344E1,-3.635013580E1,-8.619570923E1,9.445009628E1
1.513322208E0,1.288775635E1,-3.628476715E1,-8.633099365E1,9.452893237E1
1.523351208E0,1.299066162E1,-3.624258423E1,-8.630416870E1,9.450233720E1
1.533380208E0,1.287780762E1,-3.616694641E1,-8.603527832E1,9.421228719E1
1.543409208E0,1.282434082E1,-3.625958252E1,-8.623687744E1,9.442467936E1
1.553439208E0,1.291009521E1,-3.621491241E1,-8.612393188E1,9.431607542E1
1.563468208E0,1.284704590E1,-3.619097137E1,-8.612341309E1,9.429780103E1
1.573497208E0,1.283959961E1,-3.621088409E1,-8.622103882E1,9.439359607E1
1.583526208E0,1.284246826E1,-3.629206848E1,-8.628674316E1,9.448515900E1
1.593555208E0,1.289074707E1,-3.618061829E1,-8.616357422E1,9.433647238E1
